"","TNFRSF9","JUN","DNAJB4","PLEKHO1","HSPA6","BTG2","ATF3","DUSP10","EGR2","DUSP8","TNNT3","IGF2-AS","KCNQ1DN","TUB","BBOX1","APLNR","FOLR2","TMEM126B","DDX25","CLEC4E","CLEC1B","CLEC7A","TAS2R7","NR4A1","NCKAP1L","ANKS1B","TRPC4","NFKBIA","FOS","GPR68","DNAJA4","SLC28A1","KLHL25","SSTR5","TPSD1","IL32","RRAD","TRPV2","PYY2","IKZF3","PIEZO2","TICAM1","MAG","ZFP36","ATP1A3","BCL3","FOSB","KLK15","ZNF613","EGR4","CNGA3","IL1A","GYPC","DLX2","CCL20","MMP9","CASS4","TSSK2","CLTCL1","FBLN2","CD96","TSC22D2","PTX3","NKX3-2","CXCL1","CXCL3","CXCL2","PRDM8","SLC9A3","EGR1","PCDHB12","DUSP1","DRD1","FOXF2","OR10C1","TNFAIP3","NOX3","CAMK2B","VGF","RARRES2","LY6H","GRINA","CCL27","SPAG8","MAMLD1","L1CAM"
"Series3_A549_Mock_1",3.63758615972639,8.4071550862073,4.91265488573605,5.04985600724954,2.30258509299405,5.7268477475872,6.72982407048948,5.34233425196481,5.09375020080676,5.47646355193151,0,0,0,5.92157841964382,0.693147180559945,0,0,6.4831073514572,0,6.03787091992214,0,0,0,9.6193325858605,1.79175946922805,2.70805020110221,0,8.65538869016764,9.97385281519669,3.3322045101752,2.19722457733622,2.19722457733622,5.37989735354046,4.34380542185368,0,6.63200177739563,3.25809653802148,2.56494935746154,3.97029191355212,0,5.21493575760899,5.96614673912369,0,9.59437753267073,4.54329478227,8.13534694890671,8.85066091901715,0,2.89037175789616,0,0,2.94443897916644,0,1.38629436111989,7.95682712209011,3.58351893845611,1.79175946922805,0,5.11799381241676,0.693147180559945,0.693147180559945,5.13579843705026,1.38629436111989,3.36729582998647,8.73214326770192,7.900636613018,8.53503310954457,2.77258872223978,5.52146091786225,9.28163725385822,1.38629436111989,9.00146947994869,4.45434729625351,5.84354441703136,0,7.22037383672395,0,2.39789527279837,4.06044301054642,0,0,8.31483217928456,2.70805020110221,3.52636052461616,5.4249500174814,4.91265488573605
"Series3_A549_Mock_2",3.55534806148941,8.1961611392829,5.30330490805908,4.47733681447821,1.09861228866811,5.64897423816121,6.87523208727658,5.2257466737132,5.06259503302697,5.22035582507832,0,0,0,5.83773044716594,0,0,0,6.28226674689601,0.693147180559945,6.22059017009974,0,0,0,9.50888819773827,1.09861228866811,2.56494935746154,0,8.67265729404031,9.82827897493837,2.484906649788,1.38629436111989,1.79175946922805,5.26785815906333,3.87120101090789,0.693147180559945,6.22455842927536,2.89037175789616,2.07944154167984,3.3322045101752,0,5.00394630594546,5.53733426701854,0,9.36194495610808,4.14313472639153,7.67600993202889,8.74782860848874,0,2.30258509299405,1.6094379124341,0,2.94443897916644,0,1.6094379124341,7.91461770904068,2.56494935746154,0,0,4.70953020131233,0.693147180559945,0,5.04342511691925,0.693147180559945,2.83321334405622,8.5387589693308,7.71423114484909,8.47177732788576,2.56494935746154,5.48063892334199,9.15915233520675,1.38629436111989,8.93761259130621,4.20469261939097,5.6970934865054,0,7.09672137849476,0,1.6094379124341,3.55534806148941,0,0,8.12029131396856,1.6094379124341,3.13549421592915,5.29831736654804,4.97673374242057
"Series3_A549_RSV_1",3.2188758248682,7.54062152865715,3.52636052461616,3.97029191355212,2.70805020110221,3.29583686600433,4.7361984483945,3.85014760171006,3.3322045101752,4.49980967033027,0,0,0,4.65396035015752,0,0,0,5.39362754635236,0,5.51342874616498,0,0,0,8.44311598801992,0,1.09861228866811,0,8.11969625295725,8.43576619272051,2.56494935746154,1.6094379124341,1.09861228866811,4.14313472639153,1.94591014905531,0,5.56068163101553,2.63905732961526,1.38629436111989,2.19722457733622,0,4.11087386417331,4.98360662170834,0,8.44225410475174,3.46573590279973,7.27793857294566,7.11395610956603,0,1.38629436111989,0.693147180559945,0,2.56494935746154,0,0,7.29301767977278,1.09861228866811,0,0,4.00733318523247,0,0,3.95124371858143,1.38629436111989,2.39789527279837,8.150467911624,7.29844510150815,7.89543600694297,2.63905732961526,4.51085950651685,8.10621290261996,0.693147180559945,7.77317368048254,3.2188758248682,4.95582705760126,0,6.8627579130514,0,0.693147180559945,3.55534806148941,0,0,7.69348164083518,0.693147180559945,1.09861228866811,4.63472898822964,4.63472898822964
"Series3_A549_RSV_2",2.70805020110221,6.82979373751242,2.94443897916644,4.04305126783455,2.484906649788,2.89037175789616,4.69134788222914,3.13549421592915,3.25809653802148,3.71357206670431,0,0,0,4.33073334028633,0,0,0,4.23410650459726,0,5.09375020080676,0,0,0,7.93343838762749,0,0.693147180559945,0,7.71199650704767,7.77611547709874,1.38629436111989,0,0,3.97029191355212,1.6094379124341,0,5.29831736654804,2.56494935746154,1.38629436111989,1.38629436111989,0,3.17805383034795,4.62497281328427,0,7.74932246466036,2.89037175789616,6.68461172766793,6.62140565176413,0,1.79175946922805,1.09861228866811,0,1.6094379124341,0,0.693147180559945,6.84481547920826,1.94591014905531,0,0,3.71357206670431,0,0,3.09104245335832,0,1.38629436111989,7.69439280262942,6.64118216974059,7.15070145759253,2.19722457733622,4.14313472639153,7.57507169950756,0,7.27447955877387,3.04452243772342,4.35670882668959,0,6.18620862390049,0,0.693147180559945,2.07944154167984,0,0,7.19142933003638,0,1.38629436111989,4.29045944114839,4.45434729625351
"Series4_A549_Mock_1",1.94591014905531,5.46806014113513,4.64439089914137,3.36729582998647,1.38629436111989,4.60517018598809,3.04452243772342,2.99573227355399,0,2.19722457733622,0,0,0,4.969813299576,0,0,0,5.08759633523238,0,0,0,0,0,4.48863636973214,0,1.6094379124341,0,5.72031177660741,1.94591014905531,1.79175946922805,1.09861228866811,0.693147180559945,3.97029191355212,1.79175946922805,0,2.56494935746154,0.693147180559945,1.38629436111989,0.693147180559945,0,2.39789527279837,3.63758615972639,0,4.12713438504509,3.17805383034795,5.05624580534831,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0.693147180559945,1.94591014905531,0,0,4.14313472639153,1.09861228866811,0,4.21950770517611,0,2.56494935746154,2.70805020110221,2.39789527279837,2.484906649788,0.693147180559945,2.89037175789616,0.693147180559945,0,6.19644412779452,3.17805383034795,4.06044301054642,0,3.73766961828337,0,1.38629436111989,1.94591014905531,0,0,5.98141421125448,0,1.6094379124341,3.85014760171006,4.04305126783455
"Series4_A549_Mock_2",3.04452243772342,5.90263333340137,5.57594910314632,3.76120011569356,0.693147180559945,5.35185813347607,3.85014760171006,3.85014760171006,0,2.94443897916644,0,1.09861228866811,0,5.61312810638807,0,0,0,5.90536184805457,0,0,0,0,0,5.15329159449778,0.693147180559945,1.94591014905531,0,6.53233429222235,2.94443897916644,1.79175946922805,1.6094379124341,0,4.79579054559674,1.38629436111989,0.693147180559945,3.46573590279973,2.484906649788,1.09861228866811,1.09861228866811,0,3.25809653802148,4.18965474202643,0,5.11799381241676,3.52636052461616,5.6937321388027,1.6094379124341,0,3.04452243772342,0,0,1.09861228866811,0,0.693147180559945,1.38629436111989,0,1.09861228866811,0,4.63472898822964,1.38629436111989,0,4.70048036579242,0,2.83321334405622,3.80666248977032,3.8286413964891,3.61091791264422,2.19722457733622,3.66356164612965,1.6094379124341,0.693147180559945,6.99484998583307,3.73766961828337,4.86753445045558,0,4.58496747867057,0,0,2.77258872223978,0,0,6.73340189183736,0.693147180559945,1.79175946922805,4.34380542185368,4.60517018598809
"Series4_A549_IAV_1",2.484906649788,6.24997524225948,6.01615715969835,3.76120011569356,4.00733318523247,4.29045944114839,4.63472898822964,3.68887945411394,0,2.39789527279837,0,0,0,5.24174701505964,0,0.693147180559945,0.693147180559945,6.13556489108174,0,0,0,0,0,4.17438726989564,0,2.19722457733622,0.693147180559945,6.61472560020376,2.77258872223978,0,1.79175946922805,0.693147180559945,3.95124371858143,0,0.693147180559945,3.87120101090789,2.39789527279837,0,1.09861228866811,0.693147180559945,3.52636052461616,3.09104245335832,0.693147180559945,3.71357206670431,3.25809653802148,5.07517381523383,2.07944154167984,0,2.484906649788,0,0,1.79175946922805,0,1.09861228866811,1.09861228866811,0.693147180559945,2.484906649788,0,4.33073334028633,1.09861228866811,0,4.51085950651685,1.79175946922805,1.79175946922805,4.0943445622221,3.40119738166216,3.58351893845611,2.30258509299405,2.56494935746154,3.40119738166216,0,6.62273632394984,3.71357206670431,4.34380542185368,0,4.93447393313069,0,0,2.30258509299405,0,0,5.76519110278484,0.693147180559945,1.38629436111989,3.8286413964891,4.44265125649032
"Series4_A549_IAV_2",2.30258509299405,4.91265488573605,3.97029191355212,2.77258872223978,3.13549421592915,3.61091791264422,2.99573227355399,2.70805020110221,1.09861228866811,1.79175946922805,0,1.09861228866811,0,3.85014760171006,0,0,0,4.35670882668959,0,0,0,0,0,4.18965474202643,0,0.693147180559945,0,5.38449506278909,2.39789527279837,0,0,0,3.13549421592915,0,0,2.70805020110221,1.38629436111989,0,1.09861228866811,0,1.79175946922805,2.30258509299405,0,3.40119738166216,2.484906649788,4.46590811865458,1.79175946922805,0,1.79175946922805,0,0,0,0,0,0.693147180559945,0.693147180559945,2.07944154167984,0,3.2188758248682,0,0,3.04452243772342,0,1.09861228866811,2.83321334405622,2.30258509299405,2.30258509299405,1.09861228866811,2.07944154167984,2.19722457733622,0,5.79909265446053,3.04452243772342,2.83321334405622,0,3.73766961828337,0,0,0.693147180559945,0,0,5.50533153593236,0,0.693147180559945,3.04452243772342,3.3322045101752
"Series5_A549_Mock_1",3.80666248977032,7.028201432058,5.88610403145016,5.14749447681345,2.63905732961526,5.63478960316925,4.4188406077966,4.79579054559674,1.09861228866811,4.15888308335967,0,1.09861228866811,0,6.7093043402583,0,1.09861228866811,0,6.4831073514572,0,4.07753744390572,0,0,0,7.24565506759454,0.693147180559945,3.2188758248682,0,7.61184239958042,4.85981240436167,1.6094379124341,0,0,5.8171111599632,1.38629436111989,0.693147180559945,5.49306144334055,3.25809653802148,2.30258509299405,1.6094379124341,0,5.77455154554441,5.35658627467201,0,6.70686233660275,4.54329478227,7.32778053842163,2.484906649788,0,3.58351893845611,0,0,2.56494935746154,0,1.94591014905531,4.99043258677874,1.94591014905531,0.693147180559945,0,5.99146454710798,2.30258509299405,0,5.52545293913178,2.77258872223978,2.89037175789616,6.80793494369993,5.9295891433899,6.06378520868761,1.94591014905531,0,2.83321334405622,1.6094379124341,8.12118324207883,4.95582705760126,5.80513496891649,0,6.43294009273918,0,1.38629436111989,3.49650756146648,0,0,7.73280753042202,0.693147180559945,2.39789527279837,5.13579843705026,5.06259503302697
"Series5_A549_Mock_2",3.95124371858143,6.94601399109923,5.8636311755981,5.09375020080676,1.09861228866811,5.56068163101553,4.34380542185368,4.74493212836325,1.38629436111989,4.36944785246702,0,0,0,6.67582322163485,0,0,0,6.383506634884,0,3.97029191355212,0,0,0,7.15929190479756,0.693147180559945,3.29583686600433,0.693147180559945,7.57712193087668,4.58496747867057,1.38629436111989,0,0,5.68357976733868,1.94591014905531,0,5.61677109766657,3.13549421592915,2.39789527279837,2.77258872223978,0,5.59842195899838,5.11799381241676,0,6.61338421837956,4.47733681447821,7.41637847919293,2.83321334405622,0,3.80666248977032,0,0,2.39789527279837,0,2.484906649788,4.79579054559674,1.79175946922805,0,0,5.82008293035236,2.99573227355399,0,5.6021188208797,2.484906649788,3.04452243772342,6.83625927727707,5.92157841964382,6.05208916892442,1.6094379124341,0.693147180559945,3.43398720448515,0,8.08671792030391,4.89783979995091,5.67332326717149,0,6.55535689181067,0,0.693147180559945,3.49650756146648,0.693147180559945,0,7.77946696745832,0,2.07944154167984,5.18178355029209,4.97673374242057
